,진료년도,상병구분,시도,SIGUNGU_NM,SIGUNGU_CD,성별,연령군,환자수,입내원일수,요양급여비용총액
78,2023,ADHD,서울,관악구,11210,여,10~19세,137,967,109761110
79,2023,ADHD,서울,관악구,11210,여,20~29세,884,6427,670321750
80,2023,ADHD,서울,관악구,11210,여,30~39세,383,2884,309361340
81,2023,ADHD,서울,관악구,11210,여,40~49세,43,276,27640030
82,2023,ADHD,서울,관악구,11210,여,50~59세,0,0,0
83,2023,ADHD,서울,관악구,11210,여,60~69세,0,0,0
84,2023,ADHD,서울,관악구,11210,여,70~79세,0,0,0
85,2023,ADHD,서울,관악구,11210,여,80~89세,0,0,0
86,2023,ADHD,서울,관악구,11210,여,90~99세,0,0,0
87,2023,ADHD,서울,관악구,11210,여,100세 이상,0,0,0
88,2023,ADHD,서울,구로구,11170,남,0~9세,457,2616,149798450
89,2023,ADHD,서울,구로구,11170,남,10~19세,565,4084,254354720
90,2023,ADHD,서울,구로구,11170,남,20~29세,318,2503,202921540
91,2023,ADHD,서울,구로구,11170,남,30~39세,251,1826,174512210
92,2023,ADHD,서울,구로구,11170,남,40~49세,45,295,25362560
93,2023,ADHD,서울,구로구,11170,남,50~59세,0,0,0
94,2023,ADHD,서울,구로구,11170,남,60~69세,0,0,0
95,2023,ADHD,서울,구로구,11170,남,70~79세,0,0,0
96,2023,ADHD,서울,구로구,11170,남,80~89세,0,0,0
97,2023,ADHD,서울,구로구,11170,남,90~99세,0,0,0
98,2023,ADHD,서울,구로구,11170,남,100세 이상,0,0,0
99,2023,ADHD,서울,구로구,11170,여,0~9세,123,693,41305250
100,2023,ADHD,서울,구로구,11170,여,10~19세,227,1531,134047980
101,2023,ADHD,서울,구로구,11170,여,20~29세,467,3442,320779880
102,2023,ADHD,서울,구로구,11170,여,30~39세,273,1973,176127120
103,2023,ADHD,서울,구로구,11170,여,40~49세,61,489,37321030
104,2023,ADHD,서울,구로구,11170,여,50~59세,12,63,4617250
105,2023,ADHD,서울,구로구,11170,여,60~69세,0,0,0
106,2023,ADHD,서울,구로구,11170,여,70~79세,0,0,0
107,2023,ADHD,서울,구로구,11170,여,80~89세,0,0,0
108,2023,ADHD,서울,구로구,11170,여,90~99세,0,0,0
109,2023,ADHD,서울,구로구,11170,여,100세 이상,0,0,0
110,2023,ADHD,서울,도봉구,11100,남,0~9세,118,1083,78130880
111,2023,ADHD,서울,도봉구,11100,남,10~19세,169,1462,113254810
112,2023,ADHD,서울,도봉구,11100,남,20~29세,128,883,47112290
113,2023,ADHD,서울,도봉구,11100,남,30~39세,91,580,26474470
114,2023,ADHD,서울,도봉구,11100,남,40~49세,24,161,7779030
115,2023,ADHD,서울,도봉구,11100,남,50~59세,0,0,0
116,2023,ADHD,서울,도봉구,11100,남,60~69세,0,0,0
117,2023,ADHD,서울,도봉구,11100,남,70~79세,0,0,0
118,2023,ADHD,서울,도봉구,11100,남,80~89세,0,0,0
119,2023,ADHD,서울,도봉구,11100,남,90~99세,0,0,0
120,2023,ADHD,서울,도봉구,11100,남,100세 이상,0,0,0
121,2023,ADHD,서울,도봉구,11100,여,0~9세,41,355,25499560
122,2023,ADHD,서울,도봉구,11100,여,10~19세,95,796,50620750
123,2023,ADHD,서울,도봉구,11100,여,20~29세,148,921,43870010
124,2023,ADHD,서울,도봉구,11100,여,30~39세,74,399,19868780
125,2023,ADHD,서울,도봉구,11100,여,40~49세,11,41,1855590
126,2023,ADHD,서울,도봉구,11100,여,50~59세,0,0,0
127,2023,ADHD,서울,도봉구,11100,여,60~69세,0,0,0
128,2023,ADHD,서울,도봉구,11100,여,70~79세,0,0,0
129,2023,ADHD,서울,도봉구,11100,여,80~89세,0,0,0
130,2023,ADHD,서울,도봉구,11100,여,90~99세,0,0,0
131,2023,ADHD,서울,도봉구,11100,여,100세 이상,0,0,0
132,2023,ADHD,서울,동대문구,11060,남,0~9세,141,938,76387500
133,2023,ADHD,서울,동대문구,11060,남,10~19세,307,2224,198841520
134,2023,ADHD,서울,동대문구,11060,남,20~29세,360,2278,226459740
135,2023,ADHD,서울,동대문구,11060,남,30~39세,176,1124,109330690
136,2023,ADHD,서울,동대문구,11060,남,40~49세,53,376,32874080
137,2023,ADHD,서울,동대문구,11060,남,50~59세,18,88,5994240
138,2023,ADHD,서울,동대문구,11060,남,60~69세,0,0,0
139,2023,ADHD,서울,동대문구,11060,남,70~79세,0,0,0
140,2023,ADHD,서울,동대문구,11060,남,80~89세,0,0,0
141,2023,ADHD,서울,동대문구,11060,남,90~99세,0,0,0
142,2023,ADHD,서울,동대문구,11060,남,100세 이상,0,0,0
143,2023,ADHD,서울,동대문구,11060,여,0~9세,42,281,25223860
144,2023,ADHD,서울,동대문구,11060,여,10~19세,146,930,84608040
145,2023,ADHD,서울,동대문구,11060,여,20~29세,490,3197,326850680
146,2023,ADHD,서울,동대문구,11060,여,30~39세,186,1264,122976700
147,2023,ADHD,서울,동대문구,11060,여,40~49세,49,322,31346080
148,2023,ADHD,서울,동대문구,11060,여,50~59세,13,75,6626650
149,2023,ADHD,서울,동대문구,11060,여,60~69세,0,0,0
150,2023,ADHD,서울,동대문구,11060,여,70~79세,0,0,0
151,2023,ADHD,서울,동대문구,11060,여,80~89세,0,0,0
152,2023,ADHD,서울,동대문구,11060,여,90~99세,0,0,0
153,2023,ADHD,서울,동대문구,11060,여,100세 이상,0,0,0
154,2023,ADHD,서울,동작구,11200,남,0~9세,240,1395,137503370
155,2023,ADHD,서울,동작구,11200,남,10~19세,411,2676,307344630
156,2023,ADHD,서울,동작구,11200,남,20~29세,545,4817,505510400
157,2023,ADHD,서울,동작구,11200,남,30~39세,286,2541,261520570
158,2023,ADHD,서울,동작구,11200,남,40~49세,65,521,44495830
159,2023,ADHD,서울,동작구,11200,남,50~59세,0,0,0
160,2023,ADHD,서울,동작구,11200,남,60~69세,0,0,0
161,2023,ADHD,서울,동작구,11200,남,70~79세,0,0,0
162,2023,ADHD,서울,동작구,11200,남,80~89세,0,0,0
163,2023,ADHD,서울,동작구,11200,남,90~99세,0,0,0
164,2023,ADHD,서울,동작구,11200,남,100세 이상,0,0,0
165,2023,ADHD,서울,동작구,11200,여,0~9세,64,405,39841470
166,2023,ADHD,서울,동작구,11200,여,10~19세,172,1114,125071450
167,2023,ADHD,서울,동작구,11200,여,20~29세,613,5306,550707210
168,2023,ADHD,서울,동작구,11200,여,30~39세,245,2208,233415730
169,2023,ADHD,서울,동작구,11200,여,40~49세,50,400,43209530
170,2023,ADHD,서울,동작구,11200,여,50~59세,0,0,0
171,2023,ADHD,서울,동작구,11200,여,60~69세,0,0,0
172,2023,ADHD,서울,동작구,11200,여,70~79세,0,0,0
173,2023,ADHD,서울,동작구,11200,여,80~89세,0,0,0
174,2023,ADHD,서울,동작구,11200,여,90~99세,0,0,0
175,2023,ADHD,서울,동작구,11200,여,100세 이상,0,0,0
176,2023,ADHD,서울,마포구,11140,남,0~9세,415,3886,269001350
177,2023,ADHD,서울,마포구,11140,남,10~19세,592,5162,431585450
178,2023,ADHD,서울,마포구,11140,남,20~29세,546,3391,312746280
179,2023,ADHD,서울,마포구,11140,남,30~39세,388,2564,250354520
180,2023,ADHD,서울,마포구,11140,남,40~49세,85,509,49073660
181,2023,ADHD,서울,마포구,11140,남,50~59세,22,129,10486260
182,2023,ADHD,서울,마포구,11140,남,60~69세,0,0,0
183,2023,ADHD,서울,마포구,11140,남,70~79세,0,0,0
184,2023,ADHD,서울,마포구,11140,남,80~89세,0,0,0
185,2023,ADHD,서울,마포구,11140,남,90~99세,0,0,0
186,2023,ADHD,서울,마포구,11140,남,100세 이상,0,0,0
187,2023,ADHD,서울,마포구,11140,여,0~9세,129,1092,68627890
188,2023,ADHD,서울,마포구,11140,여,10~19세,288,2112,180585530
189,2023,ADHD,서울,마포구,11140,여,20~29세,895,5713,526159930
190,2023,ADHD,서울,마포구,11140,여,30~39세,486,3450,305615570
191,2023,ADHD,서울,마포구,11140,여,40~49세,115,739,63254780
192,2023,ADHD,서울,마포구,11140,여,50~59세,22,147,10863080
193,2023,ADHD,서울,마포구,11140,여,60~69세,0,0,0
194,2023,ADHD,서울,마포구,11140,여,70~79세,0,0,0
195,2023,ADHD,서울,마포구,11140,여,80~89세,0,0,0
196,2023,ADHD,서울,마포구,11140,여,90~99세,0,0,0
197,2023,ADHD,서울,마포구,11140,여,100세 이상,0,0,0
198,2023,ADHD,서울,서대문구,11130,남,0~9세,653,2272,267443820
199,2023,ADHD,서울,서대문구,11130,남,10~19세,495,2116,270208130
200,2023,ADHD,서울,서대문구,11130,남,20~29세,119,619,69624700
201,2023,ADHD,서울,서대문구,11130,남,30~39세,66,425,45297430
202,2023,ADHD,서울,서대문구,11130,남,40~49세,21,119,12358690
203,2023,ADHD,서울,서대문구,11130,남,50~59세,0,0,0
204,2023,ADHD,서울,서대문구,11130,남,60~69세,0,0,0
205,2023,ADHD,서울,서대문구,11130,남,70~79세,0,0,0
206,2023,ADHD,서울,서대문구,11130,남,80~89세,0,0,0
207,2023,ADHD,서울,서대문구,11130,남,90~99세,0,0,0
208,2023,ADHD,서울,서대문구,11130,남,100세 이상,0,0,0
209,2023,ADHD,서울,서대문구,11130,여,0~9세,154,539,62742460
210,2023,ADHD,서울,서대문구,11130,여,10~19세,165,827,85173730
211,2023,ADHD,서울,서대문구,11130,여,20~29세,199,1439,146777870
212,2023,ADHD,서울,서대문구,11130,여,30~39세,67,450,49488520
213,2023,ADHD,서울,서대문구,11130,여,40~49세,17,127,12496300
214,2023,ADHD,서울,서대문구,11130,여,50~59세,0,0,0
215,2023,ADHD,서울,서대문구,11130,여,60~69세,0,0,0
216,2023,ADHD,서울,서대문구,11130,여,70~79세,0,0,0
217,2023,ADHD,서울,서대문구,11130,여,80~89세,0,0,0
218,2023,ADHD,서울,서대문구,11130,여,90~99세,0,0,0
219,2023,ADHD,서울,서대문구,11130,여,100세 이상,0,0,0
220,2023,ADHD,서울,성동구,11040,남,0~9세,272,1681,149612210
221,2023,ADHD,서울,성동구,11040,남,10~19세,341,2434,259873220
222,2023,ADHD,서울,성동구,11040,남,20~29세,248,1592,149058660
223,2023,ADHD,서울,성동구,11040,남,30~39세,162,1109,110682070
224,2023,ADHD,서울,성동구,11040,남,40~49세,51,321,32390610
225,2023,ADHD,서울,성동구,11040,남,50~59세,11,43,3917660
226,2023,ADHD,서울,성동구,11040,남,60~69세,0,0,0
227,2023,ADHD,서울,성동구,11040,남,70~79세,0,0,0
